접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2022-0344,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-03-20,2022-03-23,폐사,,기타(협조),Unknown,Juvenile,36.37.423,127.06.128,118,,,무덤가,충남 공주시 정안면 대산리 산 53-1,숲,어미를 잃음(미아),어미를 잃음 (미아),,,,,128,110,단순 미아
2022-1948,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-08-23,2022-09-05,안락사,,폐기,Unknown,Juvenile,36.29.208,127.05.303,26,,,식당 입구 옆 나무 밑,충남 공주시 우성면 도천리 186-11,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,132.7,158,단순 미아
2022-1949,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-08-23,2022-08-26,폐사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Juvenile,36.29.208,127.05.303,26,,,식당 입구 옆 나무 밑,충남 공주시 우성면 도천리 186-11,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,138.9,124,좌측 대퇴골 폐쇄골절
2022-2068,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-09-15,2022-10-09,폐사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Juvenile,36.28.017,127.08.129,32,,,아파트 단지 내부 ,충남 공주시 공주대학로 19,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,104,170,두부 피부 열상
2022-2204,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-10-19,2022-10-26,폐사,,폐기,Unknown,Juvenile,36.20.255,127.08.187,50,,,근영건설산업 옆 녹지 경계,충남 공주시 계룡면 영규대사로 261,건물옆,"개, 고양이 공격","개, 고양이 공격",,,,,108,100,"우측 척골 개방골절, 교상 "
2022-1000,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-05-30,2022-05-31,DOA,,냉동(신냉동창고)(투입박스(일반)),Unknown,Juvenile,36.28.098,127.08.260,50,,,발견지 주소 내부,충남 공주시 공주대학로 56,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,120,118,단순 미아 
2022-2451,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-12-16,2023-01-20,방생,충남 공주시 신관동 241-30,,Unknown,Adult,36.28.129,127.08.121,0,,,건물옆,충남 공주시 신관동 185-15,건물옆,전선/건물과의 충돌,유리 구조물 충돌 추정,,,,,198,184,유리 구조물 충돌에 의한 내부 장기 손상
2022-1302,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-06-17,2022-07-21,방생,충남 예산군 대흥면 갈신리 산 53,,Unknown,Unknown,36.26.159,127.07.011,57,,,주소지 주유소 건물 앞,충남 공주시 우금티로 475,건물옆,끈끈이,끈끈이 ,,,,,82,78,끈끈이에 의한 탈진
2022-0896,붉은머리오목눈이,조강(Aves),참새목,붉은머리오목눈이과,해당없음,해당없음,해당없음,2022-05-22,2022-05-22,DOA,,냉동(신냉동창고)(투입박스(일반)),Unknown,Juvenile,36.00.000,128.00.000,252,,,자택 옆 주차공간,충남 공주시 사곡면 고당길 76-3,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,8,8,신경계 이상
2022-0170,상모솔새,조강(Aves),참새목,상모솔새과,해당없음,해당없음,해당없음,2022-01-19,2022-01-20,DOA,,냉동(표본제작실)(소형조류 1),Unknown,Unknown,36.28.089,127.08.273,50,,,문화체육관,충남 공주시 공주대학로 56,건물옆,전선/건물과의 충돌,유리 구조물 충돌,,,,,4.5,4.5,"단순 뇌진탕, 좌안 통증 추정"
